"{'uuid': 'f4730c2e-9a97-479a-93f7-54e61354e971', 'side': 'bid', 'ord_type': 'limit', 'price': '160000000', 'avg_price': '160080000', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2025-07-23T18:24:10+09:00', 'volume': '0.10955552', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '8764.4416', 'remaining_fee': '0', 'paid_fee': '8764.4416', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.10955552', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'd6f8af13-a1b8-4c66-b2fb-272ee50dce82', 'side': 'ask', 'ord_type': 'limit', 'price': '160431000', 'avg_price': '160350784.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2025-07-22T07:45:09+09:00', 'volume': '0.04506786', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '3615.14092383', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.04506786', 'trades_count': 7, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'f2466d14-139e-457a-ae9b-b162f97db8c0', 'side': 'ask', 'ord_type': 'limit', 'price': '161267000', 'avg_price': '161186366.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2025-07-19T09:59:23+09:00', 'volume': '0.04506786', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '3633.97928931', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.04506786', 'trades_count': 2, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '1c64b512-837d-4072-a0fc-dfdfe5287250', 'side': 'bid', 'ord_type': 'limit', 'price': '162122000', 'avg_price': '162203061', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2025-07-17T09:22:46+09:00', 'volume': '0.03624103', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '2937.73413283', 'remaining_fee': '0', 'paid_fee': '2937.73413283', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.03624103', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'dba7cf13-3430-49d2-8ee1-c88ebba81b83', 'side': 'ask', 'ord_type': 'limit', 'price': '162590000', 'avg_price': '162508705', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2025-07-16T20:52:38+09:00', 'volume': '0.05389468', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '4381.3680106', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.05389468', 'trades_count': 2, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'e8191751-3626-4ca3-b17e-daa98b454cf2', 'side': 'bid', 'ord_type': 'limit', 'price': '127968000', 'avg_price': '128031984', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2025-03-24T15:43:33+09:00', 'volume': '0.03905606', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '2498.96294304', 'remaining_fee': '0', 'paid_fee': '2498.96294304', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.03905606', 'trades_count': 3, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '721b39bd-7575-428d-8ac8-726dae652710', 'side': 'bid', 'ord_type': 'limit', 'price': '146175000', 'avg_price': '146248087.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2025-02-16T22:07:48+09:00', 'volume': '0.01692443', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '1236.964277625', 'remaining_fee': '0', 'paid_fee': '1236.964277625', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.01692443', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'f3aec312-4331-4267-baa2-bd1157c17cc7', 'side': 'ask', 'ord_type': 'limit', 'price': '143000000', 'avg_price': '142928500', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2025-01-09T09:21:40+09:00', 'volume': '0.01726962', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '1234.77783', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.01726962', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '8918dcd5-37d6-4908-ac4b-49a325e7be50', 'side': 'bid', 'ord_type': 'limit', 'price': '151690000', 'avg_price': '151765845', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-12-19T12:52:41+09:00', 'volume': '0.0690785', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '5239.2588325', 'remaining_fee': '0', 'paid_fee': '5239.2588325', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.0690785', 'trades_count': 2, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'e2211c71-6609-4c4e-9aba-5388708c29cb', 'side': 'ask', 'ord_type': 'limit', 'price': '150300000', 'avg_price': '150230402.68628725', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-12-16T12:54:56+09:00', 'volume': '0.06979624', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '5245.38131125', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.06979624', 'trades_count': 7, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '813213eb-8d29-4e1f-b0ef-eee4275bea0e', 'side': 'bid', 'ord_type': 'limit', 'price': '139682000', 'avg_price': '139751841', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-12-09T12:26:02+09:00', 'volume': '0.0178839', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '1249.0294599', 'remaining_fee': '0', 'paid_fee': '1249.0294599', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.0178839', 'trades_count': 2, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '044412cf-ff61-4e3e-a17a-f9c70cd8b314', 'side': 'bid', 'ord_type': 'limit', 'price': '143900000', 'avg_price': '143971950', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-12-05T19:23:16+09:00', 'volume': '0.05191234', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '3735.092863', 'remaining_fee': '0', 'paid_fee': '3735.092863', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.05191234', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '65e96d1b-a797-4a28-8dcc-6466b3c10b94', 'side': 'ask', 'ord_type': 'limit', 'price': '135600000', 'avg_price': '135411516', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-12-03T12:35:53+09:00', 'volume': '0.07362746', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '13877.59817064', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.07362746', 'trades_count': 1, 'watch_price': '135600000', 'watch_condition': 'gte', 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': False}"
